token,frequency,capitalized_count,lowercase_count,sample_contexts
Nag-anyaya,1,1,0,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila.""]"
ng,10559,0,10559,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", ""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", ""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila.""]"
pagpapacain,1,0,1,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila.""]"
nang,54,0,54,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", '3: Nangagsihanap ang iba nang ""betun"" sa kanilang zapatos, mga boton at corbata naman ang iba, ngunit silang lahat ay nangag iisip kung paano kaya ang mabuting paraang bating lalong walang cakimiang gagawin sa may bahay, upang papaniwalain ang macacakitang sila\'y malalaon ng kaibigan, o kung magcatao\'y humingi pang tawad na hindi nacadalong maaga.', '15: Namumucod ng di ano lamang sa mga ganitong handang sa mundo\'y nauucol, ang sumasapader na mga cuadrong tungkol sa religion, gaya baga ng ""Ang Purgatorio,"" ""Ang Infierno,"" ""Ang huling Paghuhucom,"" ""Ang pagkamatay ng banal,"" ""Ang pagkamatay ng macasalanan,"" at sa duyo\'y naliliguid nang isang maringal at magandañg ""marco"" na anyong ""Renacimiento"" na gawa ni Arevalo, ang isang mabuting ayos at malapad na ""lienzo"" na doo\'y napapanood ang dalawang matandang babae.']"
isang,1835,0,1835,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", ""1: Ng panahong yao'y lumalagay si Kapitang Tiagong isang lalaking siyang lalong maguilas, at talastas ng ang kanyang bahay at ang kanyang kinamulatang bayan ay hindi nagsasara ng pinto kanino man, liban na lamang sa mga kalakal o sa ano mang isip na bago o pangahas."", ""4: Ginawa ang anyaya sa paghapong ito sa isang bahay sa daang Anloague, at yamang hindi namin natatandaan ang kanyang bilang (numero), aming sasaysayin ang kanyang anyo upang makilala ngayon, sacali't hindi pa iguiniguiba ng mga lindol.""]"
hapunan,4,0,4,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", '407: "" At kasama ng mga iba\'t ibang paunawa ang mga ganito:—""Ang taong lalong walang cabuluhan sa Filipinas sa isang hapunan o casayahan ay ang nagpapahapon o nagpapafiesta: macapagpapasimula sa pagpapalayas sa may bahay at mananatili ang lahat sa buong capanatagan.', '1499: —Hindi maniniwala ang nanay; huwag kang umiyac; sinabi ni matandang Tasiong may handa raw sa ating masarap na hapunan.']"
magtatapos,1,0,1,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila.""]"
ang,11267,0,11267,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", ""1: Ng panahong yao'y lumalagay si Kapitang Tiagong isang lalaking siyang lalong maguilas, at talastas ng ang kanyang bahay at ang kanyang kinamulatang bayan ay hindi nagsasara ng pinto kanino man, liban na lamang sa mga kalakal o sa ano mang isip na bago o pangahas."", ""1: Ng panahong yao'y lumalagay si Kapitang Tiagong isang lalaking siyang lalong maguilas, at talastas ng ang kanyang bahay at ang kanyang kinamulatang bayan ay hindi nagsasara ng pinto kanino man, liban na lamang sa mga kalakal o sa ano mang isip na bago o pangahas.""]"
Octubre,1,1,0,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila.""]"
si,940,0,940,"[""0: Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."", ""1: Ng panahong yao'y lumalagay si Kapitang Tiagong isang lalaking siyang lalong maguilas, at talastas ng ang kanyang bahay at ang kanyang kinamulatang bayan ay hindi nagsasara ng pinto kanino man, liban na lamang sa mga kalakal o sa ano mang isip na bago o pangahas."", '16: Ganito ang saysay ng doo\'y titic: ""Nuestra Señora de la Paz y Buen Viaje, na sinasamba sa Antipolo, sa ilalim ng anyong babaeng magpapalimos, dinadalaw sa kanyang pagkakasakit ang banal at bantog na si Capitana Ines"".']"
