sent_id,original,replacement,context
1-2,calacal,kalakal,Ng panahong yao'y lumalagay si Kapitang Tiagong is...
1-8,calacal,kalakal,Dapat halataing sa lubhang kinakailangang gamit na...
1-8,cabilang,kabilang,Dapat halataing sa lubhang kinakailangang gamit na...
1-8,cabila,kabila,Dapat halataing sa lubhang kinakailangang gamit na...
1-10,culay,kulay,Isang malapad na hagdanang ma'y cacapitang culay v...
1-10,culay,kulay,Isang malapad na hagdanang ma'y cacapitang culay v...
1-18,bangcay,bangkay,Tunay mang ang pagkakapinta'y hindi nagpapakilala ...
1-18,culay,kulay,Tunay mang ang pagkakapinta'y hindi nagpapakilala ...
1-19,culay,kulay,Sa panonood ng mga calagayang iyong umaakit sa pag...
1-19,culay,kulay,Sa panonood ng mga calagayang iyong umaakit sa pag...
1-48,bucas,bukas,Datapwat si Fray Damaso'y hindi mahiwagang gaya ni...
1-48,cang,kang,Datapwat si Fray Damaso'y hindi mahiwagang gaya ni...
1-49,culay,kulay,"Ang isa sa mga paisano'y isang taong malingguit, m..."
1-52,causap,kausap,"—Ako, sa halimbawa—ang patuloy na pananalita ni Fr..."
1-67,causap,kausap,Ngunit hindi ko mapagcuro kung ano ang cabagayan n...
1-104,manoc,manok,Ang tinola ay ang pinaghalong inahing manoc at sak...
1-112,sucat,sukat,¡Ganyang caraming mga libro ... sucat na ang magca...
1-114,Sucat,Sukat,¡Sucat na ang magcaroon ng dalawang daling noo.......
1-122,malacas,malakas,Di caguinsaguinsa'y pinacabigyanbigyan ng suntoc a...
1-144,bangcay,bangkay,"Ako, ang ibig kong sabihi'y pagka itinatapon ng cu..."
1-155,Tiguil,Tigil,—¡Tiguil!...
1-156,bucas,bukas,—ang sigaw ng tenienteng nagbabala at wari'y mandi...
1-157,Lacad,Lakad,"—¡Lacad na kayo ngayon din, lacad na kayo!..."
1-157,lacad,lakad,"—¡Lacad na kayo ngayon din, lacad na kayo!..."
1-160,Lacad,Lakad,¡Lacad na kayo't ipahihiram ko pa sa inyo ang akin...
1-172,bangcay,bangkay,Sa panahong wala si pari Damaso sa San Diego ay in...
1-173,macailan,makailan,"; opo, totoong carapatdapat; siya'y macailan kong ..."
1-179,magbalic,magbalik,—Ng magcagayo'y ng magbalic ang curang ito sa baya...
1-179,bangcay,bangkay,—Ng magcagayo'y ng magbalic ang curang ito sa baya...
2-1,naca,naka,Hindi magaganda at mabubuting bihis na mga dalaga ...
2-12,bucas,bukas,Nababasa sa kanyang mukhang bucas at masaya ang ca...
2-12,culay,kulay,Nababasa sa kanyang mukhang bucas at masaya ang ca...
2-32,macapag,makapag,"Nang macapag-alinlang may ilang minuto, tinungo ni..."
2-37,causap,kausap,Mga ginoo—anya—may isang caugalian sa Alemaniang p...
