dataset,chapter_number,sentence_number,source_form,target_form,context_snippet
elfili_paragraphs,1,,nguni’t,ngunit,indi ayos nguni’t hindi map
elfili_paragraphs,1,,nguni’t,ngunit,ng bapor; nguni’t ang isang
elfili_paragraphs,1,,Nguni’t,Ngunit,"—Nguni’t kapitan, "
elfili_paragraphs,1,,Nguni’t,Ngunit,yang ali. Nguni’t ang asawa
elfili_paragraphs,1,,nguni’t,ngunit,"apantaha, nguni’t tignan ni"
elfili_paragraphs,1,,nguni’t,ngunit,"tinginan, nguni’t, gaya ng "
elfili_paragraphs,1,,Nguni’t,Ngunit,"—Nguni’t, ginoong "
elfili_paragraphs,1,,Nguni’t,Ngunit,—Nguni’t ang mga g
elfili_paragraphs,1,,Nguni’t,Ngunit,—Nguni’t.... naghi
elfili_paragraphs,1,,nguni’t,ngunit,"big niya, nguni’t ni si Ben"
elfili_paragraphs,1,,nguni’t,ngunit,"crucero”, nguni’t ang tanon"
elfili_paragraphs,1,,nguni’t,ngunit,hin sana; nguni’t ang gayon
elfili_paragraphs,1,,Nguni’t,Ngunit,—Nguni’t D. Custod
elfili_paragraphs,2,,Nguni’t,Ngunit,Nguni’t ang dalaw
elfili_paragraphs,2,,nguni’t,ngunit,"hay doon, nguni’t ang tunay"
elfili_paragraphs,2,,nguni’t,ngunit,"ng apian, nguni’t hindi nan"
elfili_paragraphs,2,,Nguni’t,Ngunit,—Nguni’t balikan n
elfili_paragraphs,2,,Nguni’t,Ngunit, Basilio.—Nguni’t kahi’t ni
elfili_paragraphs,2,,Nguni’t,Ngunit,—¿Nguni’t ang mga m
elfili_paragraphs,2,,nguni’t,ngunit,"-aaralan, nguni’t wala kayo"
elfili_paragraphs,2,,Nguni’t,Ngunit,gyari pa! Nguni’t ang bagay
elfili_paragraphs,2,,nguni’t,ngunit,"ababayan, nguni’t ang kanil"
elfili_paragraphs,2,,nguni’t,ngunit,"g tangka, nguni’t sa dahila"
elfili_paragraphs,2,,nguni’t,ngunit,"apaiinom, nguni’t lumulunod"
elfili_paragraphs,2,,nguni’t,ngunit,—ang sabi—nguni’t nangangam
elfili_paragraphs,2,,Nguni’t,Ngunit,—Nguni’t ano ka ba
elfili_paragraphs,2,,nguni’t,ngunit,"aywan ko, nguni’t ang taong"
elfili_paragraphs,2,,nguni’t,ngunit,"ang puti, nguni’t ang kaniy"
elfili_paragraphs,2,,nguni’t,ngunit,agpapari; nguni’t dahil sa 
elfili_paragraphs,2,,Nguni’t,Ngunit,Nguni’t sa pagtut
elfili_paragraphs,3,,Nguni’t,Ngunit,ng manok? Nguni’t ako’y nag
elfili_paragraphs,3,,Nguni’t,Ngunit,—Nguni’t ¿saan bag
elfili_paragraphs,3,,Nguni’t,Ngunit,Nguni’t ni si Sim
elfili_paragraphs,3,,nguni’t,ngunit,"g yungib, nguni’t untiuntin"
elfili_paragraphs,3,,Nguni’t,Ngunit,—Nguni’t ano ang p
elfili_paragraphs,3,,Nguni’t,Ngunit,"—Nguni’t kayo, na "
elfili_paragraphs,3,,nguni’t,ngunit,tanungan; nguni’t ng mabaty
elfili_paragraphs,3,,Nguni’t,Ngunit,—Nguni’t ¿ano ang 
elfili_paragraphs,4,,nguni’t,ngunit,umuhunan; nguni’t ng malaun
elfili_paragraphs,4,,Nguni’t,Ngunit,Nguni’t ang panga
elfili_paragraphs,4,,Nguni’t,Ngunit, Basilio. Nguni’t ang taong
elfili_paragraphs,4,,nguni’t,ngunit,"g prayle, nguni’t tinototoo"
elfili_paragraphs,4,,nguni’t,ngunit,"g buwaya, nguni’t tinangka "
elfili_paragraphs,4,,Nguni’t,Ngunit,"inihingi. Nguni’t si Tales,"
elfili_paragraphs,4,,nguni’t,ngunit,"tuntunan, nguni’t alam din "
elfili_paragraphs,4,,nguni’t,ngunit,", titulo, nguni’t walang ma"
elfili_paragraphs,4,,Nguni’t,Ngunit,ng lakas. Nguni’t inayos ko
elfili_paragraphs,4,,nguni’t,ngunit," ko siya, nguni’t kung ako’"
elfili_paragraphs,4,,Nguni’t,Ngunit,ang anak. Nguni’t ng ikatlo
