token,count_total,example_contexts,chapters_seen
canyang,1986,"Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los ... | Ng panahong yao'y lumalagay si Kapitang Tiagong isang lalaking siyang lalong maguilas, at talastas n... | Ng panahong yao'y lumalagay si Kapitang Tiagong isang lalaking siyang lalong maguilas, at talastas n...","1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,7,8,9"
boong,385,"Gayon man, siya’y kinagigiliwan sa dakong iyon, sanhi marahil sa pangalan niyang tagalog o dahil sa ... | Sa bawa’t sandali’y tumitili ang pasuit na paos at mapagbala na wari’y isang manggagahis na ibig mak... | Sa bawa’t sandali’y tumitili ang pasuit na paos at mapagbala na wari’y isang manggagahis na ibig mak...","1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,7,8,9"
cura,194,"—Ang isa sa mga fraile'y isang dominicong bata pa, maganda, malinis at maningning, na tulad sa canya... | Ako, ang ibig kong sabihi'y pagka itinatapon ng cura sa canyang libingan ang bangcay ng isang ""herej... | —ang biglang sinabi sa magalac na pagtataca—¡ang cura ng aking bayan!...","1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,24,25,26,27,28,29,3,30,31,32,34,35,36,38,4,40,42,43,44,45,47,48,5,51,52,53,54,55,56,57,6,60,62,7,9"
Clara,193,"—Ngunit ano ang palagay ninyo sa bagay na iyon, P. Salvi—ang tanong sa pransiskano na walang imik da... | Marahil ay naging mainam pa, lalo pang kabanalan, lalo pang maganda, lalo pang kapit sa ugali dito, ... | Sinundan ang karuahe, nawala sa kaniyang paningin, ipinagtanong ang bahay, at sa dahilang noong araw...","10,19,22,23,24,25,27,28,29,3,30,31,32,34,35,36,37,39,40,42,43,44,47,48,49,51,54,59,6,61,62,63,7,9"
Victorina,102,At si aling Victorina na siyang tanging babaing nakiupo sa lipon ng mga europeo ay siyang makapagsas... | At si aling Victorina na siyang tanging babaing nakiupo sa lipon ng mga europeo ay siyang makapagsas... | Nang umagang iyon ay lalo pang namumuhi si aling Victorina dahil sa hindi siya pinapansin ng mga kal...,"1,12,17,19,2,21,22,24,3,35,39,42,43,44,47,5,51,59,63"
Custodio,90,"Nang umagang iyon ay lalo pang namumuhi si aling Victorina dahil sa hindi siya pinapansin ng mga kal... | Pati si D. Custodio ay napalingon.... | Tangi si D. Custodio, ang may magandang loob na si D. Custodio, na dahil sa kaniyang malayang kalaga...","1,11,14,15,16,17,18,19,20,21,22,25,28,3,34,35,36"
voces,88,"Umaaticabong nangagsasalitaan ang ilang mga cadete; ngunit mahihina ang voces, sa isa sa mga suloc a... | Datapwat si Fray Damaso'y hindi mahiwagang gaya nila; siya'y masaya, at kung pabug-al bug-al ang can... | —Ako, sa halimbawa—ang patuloy na pananalita ni Fr. Damaso, na lalong itinaas ang voces at ng di na ...","1,10,12,13,14,15,16,17,18,2,20,21,22,23,24,25,26,27,28,29,30,32,37,38,6,7,9"
Capitan,85,Nang umagang iyon ay lalo pang namumuhi si aling Victorina dahil sa hindi siya pinapansin ng mga kal... | Walang makapangahas na makisali sa gayong mga pag-alimura; si D. Custodio ay mangyayaring makipagsir... | Dahil dito’y pumanaog ang isang utos ng Capitan General na nagbabawal ng paggamit ng baril at ipinas...,"1,10,11,14,16,2,22,26,28,32,33,34,35,36,37,38,4,40,42,45,46,47,49,54,58,6,7,8,9"
Alcalde,77,"Nagpapagawa ng mga tulang pangpuri sa mga taong sinabi na, ng mga himnong ipinagdiriwang ang ""mabait... | Ito'y isang culang palad na hindi nag-uutos, siya ang sumusunod; hindi nacapagmumura kanino man, siy... | Nag magtanong sa kanya ang Alcalde tungkol sa bagay na sinabi ko na sa iyo, walang sinabi siya kung ...","11,22,26,28,29,30,31,32,34,35,37,38,39,40,42,6"
Placido,76,"Masama ang loob at halos ang mga mata’y lumuluha ng lumalakad sa Escolta si Placido Penitente upang ... | Si Placido ay naglalakad sa liwasan ni Magallanes upang pumasok sa butas—dating pinto—ng Sto.... | —Ganoon, ganoon—ang sagot na may kamuhian ni Placido—¿at ikaw?...","12,13,19,28"
bulaclac,70,"Isang malapad na hagdanang ma'y cacapitang culay verde, at nalalatagan ng alfombra sa mumunting pani... | —Kung hindi totoong gulo ang canyang isip, at kung siya sana'y maibiguing macaalam ng mga ginagawa n... | Siya'y maputi, napacaputi marahil, ang mga matang halos laguing sa ibaba ang tingin ay pawang nangag...","1,10,12,13,17,18,19,22,23,24,25,26,27,29,32,34,36,38,42,47,48,5,58,59,6,62,7,8"
Crisostomo,64,Juan Crisostomo Ibarra.... | —Juan Crisostomo Ibarra?... | Sumaalaala niya yaong bantog na tinuran ni San Juan Crisostomo nang ipinagtanggol ang eunuco na si E...,"10,13,17,2,22,23,24,25,28,32,33,34,35,37,39,40,43,46,48,50,51,52,53,54,55,56,57,58,59,60,62,7,9"
