token,frequency,capitalized_count,pattern_match,modern_suggestion,confidence,auto_action,sample_contexts
muog,8,0,UO_TO_O,mog,MEDIUM,REVIEW,"['52: Datapwa’y yayamang napag-uusapan na rin lamang ang tungkol sa mga alamat, ay huwag ninyong kaligtaan ang lalong mainam, dahil sa siyang lalong katotohanan, ang kababalaghan ni San Nicolas, na marahil ay nakita ninyo ang mga sirang muog ng kaniyang simbahan.', '8: Tinawid ni Basilio ang sapa sa tulong ng pagpapalungdaglundag sa mga bato na namumukod sa kaitiman sa ibabaw ng kinang ng tubig, umakyat sa bundokbundukan at tinungo ang isang munting pook na nakukulong ng matanda’t sirasirang muog.', '24: —Mayroon po akong mga palamuti ng liig ni Cleopatra, mga sadyang tunay, na nakuha sa mga piramide, mga singsing ng mga senador at mga Ginoong romano na nakuha sa mga labing muog ng Cartago......']"
binubuo,7,0,UO_TO_O,binubo,MEDIUM,REVIEW,"['9: Tinungo ang puno ng baliting malaki, mahiwaga, matanda, (na binubuo halos ng mga ugat na pataas at paibaba na wari mga sangang nangagkasalasalabid) na nakatayo sa kalagitnaan.', '87: Yaon ay isang wari’y kolyar na binubuo ng iba’t ibang palawit na ginto na mga ayos anitong uwang na kulay dahon at bughaw, at sa gitna’y may isang ulo ng bwitre na gawa sa bato, na ang kilabot ay katangitangi, na napapagitna sa dalawang pakpak na nakabuka, sagisag at hiyas ng mga haring babae sa Ehipto.', '53: —“Ang mga una ay binubuo ng tanso o pagkakahalohalo ng iba’t ibang metal at ang pangalawa ay binubuo ng isang lapad na bubog na ang dalawang mukha’y kapwa kininis at ang isa rito’y may pahid na tinggang puti.']"
bumubuo,7,0,UO_TO_O,bumubo,MEDIUM,REVIEW,"['46: —“Tinatawag na salamin ang lahat ng pamukhang binuli at nalalaan upang malarawan sa kaniya, dahil sa tama ng liwanag, ang mga larawan ng bagay na ilapit sa tinurang pamukha; dahil sa mga bagay bagay na bumubuo ng mga pamukhang ito ay binabahagi sa salaming metal at salaming bubog......', '62: —ang sabi ng katedratiko na napilitang tumawa—Tingnan natin kung alin ang tatawagin nating salamin: ang pamukha, per se, in quantum est superficies, o ang katawang bumubuo ng ibabaw na ito o kaya’y ang bagay na kinapapatungan ng pamukhang ito ang pinagbuhatang bagay, na naiba dahil sa pagkakabago sa kaniya ng tinatawag na pamukha, sapagka’t maliwanag na, sa dahilang ang pamukha ay kabaguhan ng mga katawan, ay hindi mangyayaring mawalan ng kabagayan.', '29: —Diyan nga naririyan ang kid, sa karaniwang sabi; hindi nga ba kapuripuri ang tumulong sa pamahalaan pag ang pagtulong ay sa pamag-itan ng pangangayupapa, alinsunurin ang kaniyang mga kapasiyahan, ang tuwid na katuturan ng mga batas na katugon ng tuwid na paghahaka ng mga namamahala at hindi malalaban sa unang una at karaniwang paraan sa pagkukuro ng mga Ginoong may hawak ng ikaaanyo ng mga taong bumubuo ng isang kapisanan.']"
corporacion,6,0,C_TO_K,korporacion,HIGH,SAFE,"['54: Noon nakita ang isang labanang hindi pa namamasdan sa silong ng langit ng Pilipinas: ang sa isang maralitang indio, mangmang at walang mga kaibigan, tiwala sa kaniyang katwiran at sa kabutihan ng kaniyang pinag-uusig, na nakikilaban sa isang malakas na “corporacion” na niyuyukuan ng kapangyarihan at sa harap niya’y binibitiwan ng mga hukom ang kanilang timbangan at isinusuko ang kanilang tabak.', '11: Yaon ay isang parusa ng langit sa lahat ng mga lumalaban sa mga utos ng kaniyang “corporacion”.', '64: Kung doon dinadala ng mga corporacion ang lahat ng kanilang salapi ay dapat na lumakad na mabuti ang pangangalakal doon at maaaring siya’y yumaman.']"
mañga,5,0,NG_TILDE,manga,HIGH,SAFE,"['7: Ngunit si Fray Ibañez ay nagiging musulman kapag sumusulat, at alam natin kung papano ang ginagawa nang mañga musulman sa pagpapaaral.', '165: “Ang pagkamahabagin, NA LALONG BUHAY SA MAÑGA BAYANG KATOLIKO KAY SA IBANG BAYAN, at ang alaala Niyong sa udyok din noon ay naghirap dahil sa sangkatauhan, sa amin ay nagpakilos (sic) sa pagkahabag sa mañga kasawian nang ating kapuwa at idalañgin upang sa lupaing ito, na salantangsalanta sa mañga bagyo, ay huwag maulit ang mañga kasakitsakit na pangyayaring napagmasdan nang mañga naninirahan sa Estados Unidos.', '165: “Ang pagkamahabagin, NA LALONG BUHAY SA MAÑGA BAYANG KATOLIKO KAY SA IBANG BAYAN, at ang alaala Niyong sa udyok din noon ay naghirap dahil sa sangkatauhan, sa amin ay nagpakilos (sic) sa pagkahabag sa mañga kasawian nang ating kapuwa at idalañgin upang sa lupaing ito, na salantangsalanta sa mañga bagyo, ay huwag maulit ang mañga kasakitsakit na pangyayaring napagmasdan nang mañga naninirahan sa Estados Unidos.']"
cochers,5,0,C_TO_K,kochers,HIGH,REVIEW,"['142: Ngunit agad na itinaas ang tabing at ang tagpuan ay naging anyong tiange ng mga alila, may tatlong haliging kinalalagyan ng mga sagisag at may dalang mga pahayag na servantes, cochers at domestiques.', '166: —¿Kung gayon ay ang mga dalagang iyan ang mga cochers?', '180: Si Paulita ay untiunting lalong nalulungkot dahil sa pag-iisip na kung bakit ang mga babaeng iyon na tinatawag na cochers ay nakaaakit kay Isagani.']"
requiem,4,0,QU_TO_K,rekiem,HIGH,REVIEW,"['30: Dahil sa siya’y nagulumihanan sa pagkakakita sa guardia sibil o kaya’y dahil sa wala siyang paggalang sa santong may gayong kaakbay, ay hindi nagdasal ng kahit isang requiem eternam man lamang.', '88: Sa mga bahaybahay ay nagdadasal ng rosario at may mga maawaing babaeng nagpapatungkol na ng mahahabang padrenuestro at mga requiem sa kaluluwa ng mga kamag-anak nila’t kaibigan.', '8: kung sampu ng mga intsik na hindi binyagan ay inilibing ninyo ng may misa de requiem!']"
buong-buo,4,0,UO_TO_O,bong-bo,MEDIUM,REVIEW,"['36: Gayon man ay isinasaulo niyang buong-buo ang lisyon kahit marami ang hindi niya natatarok!', '150: Iyang kagalanggalang na ginoo na maayos ang pagkakabihis, ay hindi mediko, ngunit isang manggagamot sui generis; taglay niyang buong-buo ang similia similibus....', '61: Isang kawaning napakamaingat na nagbaluting mabuti ay nakakita, nang magtatakip-silim, ng isang bulto sa kalapit ng kaniyang bahay; inakala na niyang buong-buo na yaon ay isang nag-aaral, kaya’t pinaputukan ng dalawang putok ng rebolber.']"
domestiques,4,0,QU_TO_K,domestikes,HIGH,REVIEW,"['142: Ngunit agad na itinaas ang tabing at ang tagpuan ay naging anyong tiange ng mga alila, may tatlong haliging kinalalagyan ng mga sagisag at may dalang mga pahayag na servantes, cochers at domestiques.', '144: —Ang kahulugan ng servantes ay mga sirviente, ang domestiques ay domestico....', '145: —¿At ano ang kaibhan ng mga servantes sa mga domestiques?']"
conservador,3,0,C_TO_K,konservador,HIGH,REVIEW,"['28: Muhi sa mga conservador, na hindi pinahalagahan ang kaniyang mga payo, na gaya rin naman sa mga kakabitkabit sa kaniyang humihitit sa kaniyang bulsa, ay sumapi sa pangkating liberal, at bago matapos ang taon ay bumalik sa Pilipinas, na, kung hindi man magaling na sa sakit sa atay ay gulong gulo naman ang paghahaka.', '31: Sa mga unang buwan ng kaniyang pagdating ay wala nang nababanggit kundi ang Madrid, ang kaniyang mabubuting kaibigan, ang ministrong si ganoon, ang naging ministrong si ganito, ang kinatawang C, ang manunulat na si B; walang pangyayari sa politika, mga kagusutan sa Korte, na hindi niya batid ang lalong kaliitliitang pangyayari, ni mga taong bantog na hindi niya kilala ang lihim ng kabuhayan, ni walang nangyaring hindi niya hinulaan ni paglalathala ng isang pagbabagong hindi muna isinanguni sa kaniya; at ang lahat nang ito’y may kalahok na pagsundot sa mga conservador, na taglay ang tunay na pagkasuklam, pagpupuri sa pangkating liberal, isang kabuhayan dito, isang salita doon ng isang bantog na tao, na ipinapatlang, na waring hindi kinukusa, ang mga pag-aalog sa kaniya at mga tungkuling hindi tinanggap upang huwag lamang magkaroon siya ng ano mang utang na loob sa mga conservador.', '31: Sa mga unang buwan ng kaniyang pagdating ay wala nang nababanggit kundi ang Madrid, ang kaniyang mabubuting kaibigan, ang ministrong si ganoon, ang naging ministrong si ganito, ang kinatawang C, ang manunulat na si B; walang pangyayari sa politika, mga kagusutan sa Korte, na hindi niya batid ang lalong kaliitliitang pangyayari, ni mga taong bantog na hindi niya kilala ang lihim ng kabuhayan, ni walang nangyaring hindi niya hinulaan ni paglalathala ng isang pagbabagong hindi muna isinanguni sa kaniya; at ang lahat nang ito’y may kalahok na pagsundot sa mga conservador, na taglay ang tunay na pagkasuklam, pagpupuri sa pangkating liberal, isang kabuhayan dito, isang salita doon ng isang bantog na tao, na ipinapatlang, na waring hindi kinukusa, ang mga pag-aalog sa kaniya at mga tungkuling hindi tinanggap upang huwag lamang magkaroon siya ng ano mang utang na loob sa mga conservador.']"
