row_index,sentence_id,original_token,new_token,position,before_context,after_context
0,1,pagpapacain,pagpapakain,14,"Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila.","Nag-anyaya ng pagpapakain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang kaugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."
0,1,caugalian,kaugalian,250,"Nag-anyaya ng pagpapacain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang caugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila.","Nag-anyaya ng pagpapakain nang isang hapunan, ng magtatapos ang Octubre, si Ginoong Santiago de los Santos, na lalong nakikilala ng bayan sa pamagat na Kapitang Tiago, anyayang baga man niyon lamang hapong iyon kanyang inihayag, laban sa dati niyang kaugalian, gayon ma'y siyang dahil na ng lahat ng mga usap-usapan sa Binundoc, sa iba't ibang mga nayon at hanggang sa loob ng Maynila."
2,3,cadalian,kadalian,33,"Cawangis ng kislap ng lintic ang cadalian ng pagkalaganap ng balita sa daigdigan ng mga dapo, mga langaw o mga ""colado"", na kinapal ng Dios sa kanyang walang hanggang cabaitan, at kanyang pinararami ng buong pag-irog sa Maynila.","Cawangis ng kislap ng lintic ang kadalian ng pagkalaganap ng balita sa daigdigan ng mga dapo, mga langaw o mga ""kolado"", na kinapal ng Dios sa kanyang walang hanggang kabaitan, at kanyang pinararami ng buong pag-irog sa Maynila."
2,3,colado,kolado,112,"Cawangis ng kislap ng lintic ang cadalian ng pagkalaganap ng balita sa daigdigan ng mga dapo, mga langaw o mga ""colado"", na kinapal ng Dios sa kanyang walang hanggang cabaitan, at kanyang pinararami ng buong pag-irog sa Maynila.","Cawangis ng kislap ng lintic ang kadalian ng pagkalaganap ng balita sa daigdigan ng mga dapo, mga langaw o mga ""kolado"", na kinapal ng Dios sa kanyang walang hanggang kabaitan, at kanyang pinararami ng buong pag-irog sa Maynila."
2,3,cabaitan,kabaitan,167,"Cawangis ng kislap ng lintic ang cadalian ng pagkalaganap ng balita sa daigdigan ng mga dapo, mga langaw o mga ""colado"", na kinapal ng Dios sa kanyang walang hanggang cabaitan, at kanyang pinararami ng buong pag-irog sa Maynila.","Cawangis ng kislap ng lintic ang kadalian ng pagkalaganap ng balita sa daigdigan ng mga dapo, mga langaw o mga ""kolado"", na kinapal ng Dios sa kanyang walang hanggang kabaitan, at kanyang pinararami ng buong pag-irog sa Maynila."
3,4,corbata,korbata,69,"Nangagsihanap ang iba nang ""betun"" sa kanilang zapatos, mga boton at corbata naman ang iba, ngunit silang lahat ay nangag iisip kung paano kaya ang mabuting paraang bating lalong walang cakimiang gagawin sa may bahay, upang papaniwalain ang macacakitang sila'y malalaon ng kaibigan, o kung magcatao'y humingi pang tawad na hindi nacadalong maaga.","Nangagsihanap ang iba nang ""betun"" sa kanilang zapatos, mga boton at korbata naman ang iba, ngunit silang lahat ay nangag iisip kung paano kaya ang mabuting paraang bating lalong walang kakimiang gagawin sa may bahay, upang papaniwalain ang makakakitang sila'y malalaon ng kaibigan, o kung magkatao'y humingi pang tawad na hindi nakadalong maaga."
3,4,cakimiang,kakimiang,186,"Nangagsihanap ang iba nang ""betun"" sa kanilang zapatos, mga boton at corbata naman ang iba, ngunit silang lahat ay nangag iisip kung paano kaya ang mabuting paraang bating lalong walang cakimiang gagawin sa may bahay, upang papaniwalain ang macacakitang sila'y malalaon ng kaibigan, o kung magcatao'y humingi pang tawad na hindi nacadalong maaga.","Nangagsihanap ang iba nang ""betun"" sa kanilang zapatos, mga boton at korbata naman ang iba, ngunit silang lahat ay nangag iisip kung paano kaya ang mabuting paraang bating lalong walang kakimiang gagawin sa may bahay, upang papaniwalain ang makakakitang sila'y malalaon ng kaibigan, o kung magkatao'y humingi pang tawad na hindi nakadalong maaga."
3,4,macacakitang,makakakitang,241,"Nangagsihanap ang iba nang ""betun"" sa kanilang zapatos, mga boton at corbata naman ang iba, ngunit silang lahat ay nangag iisip kung paano kaya ang mabuting paraang bating lalong walang cakimiang gagawin sa may bahay, upang papaniwalain ang macacakitang sila'y malalaon ng kaibigan, o kung magcatao'y humingi pang tawad na hindi nacadalong maaga.","Nangagsihanap ang iba nang ""betun"" sa kanilang zapatos, mga boton at korbata naman ang iba, ngunit silang lahat ay nangag iisip kung paano kaya ang mabuting paraang bating lalong walang kakimiang gagawin sa may bahay, upang papaniwalain ang makakakitang sila'y malalaon ng kaibigan, o kung magkatao'y humingi pang tawad na hindi nakadalong maaga."
3,4,magcatao'y,magkatao'y,290,"Nangagsihanap ang iba nang ""betun"" sa kanilang zapatos, mga boton at corbata naman ang iba, ngunit silang lahat ay nangag iisip kung paano kaya ang mabuting paraang bating lalong walang cakimiang gagawin sa may bahay, upang papaniwalain ang macacakitang sila'y malalaon ng kaibigan, o kung magcatao'y humingi pang tawad na hindi nacadalong maaga.","Nangagsihanap ang iba nang ""betun"" sa kanilang zapatos, mga boton at korbata naman ang iba, ngunit silang lahat ay nangag iisip kung paano kaya ang mabuting paraang bating lalong walang kakimiang gagawin sa may bahay, upang papaniwalain ang makakakitang sila'y malalaon ng kaibigan, o kung magkatao'y humingi pang tawad na hindi nakadalong maaga."
3,4,nacadalong,nakadalong,329,"Nangagsihanap ang iba nang ""betun"" sa kanilang zapatos, mga boton at corbata naman ang iba, ngunit silang lahat ay nangag iisip kung paano kaya ang mabuting paraang bating lalong walang cakimiang gagawin sa may bahay, upang papaniwalain ang macacakitang sila'y malalaon ng kaibigan, o kung magcatao'y humingi pang tawad na hindi nacadalong maaga.","Nangagsihanap ang iba nang ""betun"" sa kanilang zapatos, mga boton at korbata naman ang iba, ngunit silang lahat ay nangag iisip kung paano kaya ang mabuting paraang bating lalong walang kakimiang gagawin sa may bahay, upang papaniwalain ang makakakitang sila'y malalaon ng kaibigan, o kung magkatao'y humingi pang tawad na hindi nakadalong maaga."
4,5,sacali't,sakali't,189,"Ginawa ang anyaya sa paghapong ito sa isang bahay sa daang Anloague, at yamang hindi namin natatandaan ang kanyang bilang (numero), aming sasaysayin ang kanyang anyo upang makilala ngayon, sacali't hindi pa iguiniguiba ng mga lindol.","Ginawa ang anyaya sa paghapong ito sa isang bahay sa daang Anloague, at yamang hindi namin natatandaan ang kanyang bilang (numero), aming sasaysayin ang kanyang anyo upang makilala ngayon, sakali't hindi pa iguiniguiba ng mga lindol."
