token,frequency,capitalized_count,lowercase_count,sample_contexts
Sic,1,1,0,['1: Sic itur ad astra.']
itur,1,0,1,['1: Sic itur ad astra.']
ad,2,0,2,"['1: Sic itur ad astra.', '103: —Ngunit.... naghimagsik na noong araw—ang sabi ng dominiko—at ab actu ad posse valet illatio.']"
astra,1,0,1,['1: Sic itur ad astra.']
Isang,86,86,0,"['2: Isang umaga ng Disiembre ay hirap na sumasalunga sa palikolikong linalakaran ng ilog Pasig ang bapor Tabo, na may lulang maraming tao, na tungo sa Lalaguna.', '68: —Isang munakalang yankee—ani Ben-Zayb, na ibig kalugdan ni Simoun—Ang mag-aalahas ay malaong naninirahan sa Amerika, sa Hilaga.', '111: —Isang mulato amerikano!']"
umaga,21,0,21,"['2: Isang umaga ng Disiembre ay hirap na sumasalunga sa palikolikong linalakaran ng ilog Pasig ang bapor Tabo, na may lulang maraming tao, na tungo sa Lalaguna.', '7: Balot ng liwanag sa umaga, hayo na ang maputi niyang katawan (na iniwawasiwas ang maitim na usok) na nagpapagalaw sa alon ng ilog at nagpapaawit sa hangin sa mga maigkas na kawayang nasa sa magkabilang pangpang; may nagsasabing nag-uumusok din ang daong ng Pamahalaan!...', '76: —Masama iyang ginagawa ninyo,—ang sabi ni Simoun na masama ang loob;—ang serbesa ay isang mabuting bagay, at nadingig kong sinabi kanginang umaga ni Padre Camorra, na ang kakulangan sa lakas na napupuna sa bayang ito, ay alinsunod sa napakaraming tubig na iniinom ng mga tao rito.']"
ng,6145,0,6145,"['2: Isang umaga ng Disiembre ay hirap na sumasalunga sa palikolikong linalakaran ng ilog Pasig ang bapor Tabo, na may lulang maraming tao, na tungo sa Lalaguna.', '2: Isang umaga ng Disiembre ay hirap na sumasalunga sa palikolikong linalakaran ng ilog Pasig ang bapor Tabo, na may lulang maraming tao, na tungo sa Lalaguna.', '3: Ang bapor ay may anyong bagol, halos bilog na wari’y tabo na siyang pinanggalingan ng kaniyang pangalan; napakarumi kahit na may nasa siyang maging maputi, malumanay at waring nagmamalaki dahil sa kaniyang banayad na lakad.']"
Disiembre,2,2,0,"['2: Isang umaga ng Disiembre ay hirap na sumasalunga sa palikolikong linalakaran ng ilog Pasig ang bapor Tabo, na may lulang maraming tao, na tungo sa Lalaguna.', '14: Nang isa sa mga huling araw ng buwan ng Disiembre ay nakikipaglaro ng tresillo ang Kapitang General samantalang inaantay ang oras ng pananghalian.']"
ay,3697,0,3697,"['2: Isang umaga ng Disiembre ay hirap na sumasalunga sa palikolikong linalakaran ng ilog Pasig ang bapor Tabo, na may lulang maraming tao, na tungo sa Lalaguna.', '3: Ang bapor ay may anyong bagol, halos bilog na wari’y tabo na siyang pinanggalingan ng kaniyang pangalan; napakarumi kahit na may nasa siyang maging maputi, malumanay at waring nagmamalaki dahil sa kaniyang banayad na lakad.', '4: Gayon man, siya’y kinagigiliwan sa dakong iyon, sanhi marahil sa pangalan niyang tagalog o dahil sa taglay niya ang sadyang ugali ng mga bagay-bagay ng bayan, isang wari’y tagumpay na laban sa pagkakasulong, isang bapor na hindi tunay na bapor ang kabuoan, isang sangkap na hindi nagbabago, hindi ayos ngunit hindi mapag-aalinlanganan, na, kung ibig mag-anyong makabago ay nasisiyahan na ng buong kalakhan sa isang pahid ng pintura.']"
hirap,6,0,6,"['2: Isang umaga ng Disiembre ay hirap na sumasalunga sa palikolikong linalakaran ng ilog Pasig ang bapor Tabo, na may lulang maraming tao, na tungo sa Lalaguna.', '21: Samantala nama’y hukay ng hukay si Simoun, ngunit namasdan ni Basilio na nanghina na ang dating lakas: si Simoun ay humihingal, hirap sa paghinga at sa bawat sandali ay tumitigil.', '63: ¡Gaanong hirap ang sinapit niya sa pagsasanggalang!']"
na,5949,0,5949,"['2: Isang umaga ng Disiembre ay hirap na sumasalunga sa palikolikong linalakaran ng ilog Pasig ang bapor Tabo, na may lulang maraming tao, na tungo sa Lalaguna.', '2: Isang umaga ng Disiembre ay hirap na sumasalunga sa palikolikong linalakaran ng ilog Pasig ang bapor Tabo, na may lulang maraming tao, na tungo sa Lalaguna.', '2: Isang umaga ng Disiembre ay hirap na sumasalunga sa palikolikong linalakaran ng ilog Pasig ang bapor Tabo, na may lulang maraming tao, na tungo sa Lalaguna.']"
sumasalunga,1,0,1,"['2: Isang umaga ng Disiembre ay hirap na sumasalunga sa palikolikong linalakaran ng ilog Pasig ang bapor Tabo, na may lulang maraming tao, na tungo sa Lalaguna.']"
